,filename,location,name,release_date,overview,genre,vote_average,vote_count,popularity,cast_top5,trailer,poster,director,runtime
0,The Rocky Horror Picture Show (1975).avi,D:/Movies,The Rocky Horror Picture Show,1975-08-14,"After getting a flat tire in the middle of nowhere, newly engaged couple Brad and Janet encounter the eerie mansion of the flamboyant, seductive Dr. Frank-N-Furter and a variety of eccentric characters. Through elaborate dance and rock music, the mad scientist unveils his latest creation: a perfect, muscular man.","Comedy, Science Fiction, Fantasy, Horror",7.445,3051,5.1122,"Tim Curry as Dr. Frank-N-Furter
Susan Sarandon as Janet Weiss
Barry Bostwick as Brad Majors
Richard O'Brien as Riff Raff
Patricia Quinn as Magenta
",https://youtu.be/4plqh6obZW4,https://image.tmdb.org/t/p/w154/3pyE6ZqDbuJi7zrNzzQzcKTWdmN.jpg,Jim Sharman,100 min
1,The Runway[2011]DVDRip XviD-ExtraTorrentRG.avi,D:/Movies,The Runway,2010-07-10,"The Runway is inspired by the true story of a South American pilot who landed his plane near Mallow, in 1983. Against all odds, the people of the town came together to build a runway to get him home and briefly caught the imagination of the nation. It is the story of Paco, a young boy without a father who adopts the pilot and convinces the town to build a runway to get him home.","Drama, Comedy",6.1,10,1.1148,"Demián Bichir as Ernesto Cordoba
Kerry Condon as Grace Thomas
James Cosmo as Shutherland
Jamie Kierans as Paco Thomas
Donncha Crowley as Tommy Carmody
",https://youtu.be/4plqh6obZW4,https://image.tmdb.org/t/p/w154/jMw5WMdRpMtEdHcAamY1Kkq0Xf1.jpg,Ian Power,101 min
2,The.Sound.of.Music.1965.720p.BRrip.x264.YIFY.mp4,D:/Movies,The Sound of Music,1965-03-29,"In the years before World War II, a tomboyish postulant at an Austrian abbey is hired as a governess in the home of a widowed naval captain with seven children and brings a new love of life and music into the home.","Drama, Family, Music, Romance",7.728,3537,8.352,"Julie Andrews as Maria
Christopher Plummer as Captain Georg von Trapp
Eleanor Parker as The Baroness
Charmian Carr as Liesl von Trapp
Nicholas Hammond as Friedrich von Trapp
",No trailer available,https://image.tmdb.org/t/p/w154/c6CrUZypAsBCaRWX0M3RVRDbhNS.jpg,Robert Wise,174 min
3,A Serious Man 2009 CD1.avi,D:/Movies,A Serious Man,2009-10-02,"It is 1967, and Larry Gopnik, a physics professor at a quiet Midwestern university, has just been informed by his wife Judith that she is leaving him. She has fallen in love with one of his more pompous acquaintances Sy Ableman.","Comedy, Drama",6.712,2276,2.176,"Michael Stuhlbarg as Larry Gopnik
Richard Kind as Uncle Arthur
Fred Melamed as Sy Ableman
Sari Lennick as Judith Gopnik
Aaron Wolff as Danny Gopnik
",https://youtu.be/mDKHWRbK2_Q,https://image.tmdb.org/t/p/w154/5gGxDS8WmrebPlMHexVS8EVehiP.jpg,"Joel Coen, Ethan Coen",106 min
4,A Serious Man 2009 CD2.avi,D:/Movies,A Serious Man,2009-10-02,"It is 1967, and Larry Gopnik, a physics professor at a quiet Midwestern university, has just been informed by his wife Judith that she is leaving him. She has fallen in love with one of his more pompous acquaintances Sy Ableman.","Comedy, Drama",6.712,2276,2.176,"Michael Stuhlbarg as Larry Gopnik
Richard Kind as Uncle Arthur
Fred Melamed as Sy Ableman
Sari Lennick as Judith Gopnik
Aaron Wolff as Danny Gopnik
",https://youtu.be/mDKHWRbK2_Q,https://image.tmdb.org/t/p/w154/5gGxDS8WmrebPlMHexVS8EVehiP.jpg,"Joel Coen, Ethan Coen",106 min
5,Buried 2010.avi,D:/Movies,Buried,2010-09-24,Paul is a U.S. truck driver working in Iraq. After an attack by a group of Iraqis he wakes to find he is buried alive inside a coffin. With only a lighter and a cell phone it's a race against time to escape this claustrophobic death trap.,"Drama, Thriller, Mystery",6.634,2965,8.5185,"Ryan Reynolds as Paul Conroy
José Luis García Pérez as Jabir (voice)
Robert Paterson as Dan Brenner (voice)
Stephen Tobolowsky as Alan Davenport (voice)
Samantha Mathis as Linda Conroy (voice)
",https://youtu.be/d8KBYAvYpO4,https://image.tmdb.org/t/p/w154/splPNB0vAoNlb8l5WYxz2E3FK2G.jpg,Rodrigo Cortés,95 min
6,Derailed 2005.avi,D:/Movies,Derailed,2005-11-11,"When two married business executives having an affair are blackmailed by a violent criminal, they are forced to turn the tables on him to save their families.","Drama, Thriller",6.361,1105,2.7574,"Clive Owen as Charles Schine
Jennifer Aniston as Lucinda Harris
Vincent Cassel as LaRoche
Melissa George as Deanna Schine
Giancarlo Esposito as Detective Church
",https://youtu.be/84mGKTTv5Gc,https://image.tmdb.org/t/p/w154/bcCoOkwEBHUS5Y7Rm1u1oTLUHdb.jpg,Mikael Håfström,108 min
7,Remember Me 2010.avi,D:/Movies,Remember Me,2010-03-11,"Still reeling from a heartbreaking family event and his parents' subsequent divorce, Tyler Hawkins discovers a fresh lease on life when he meets Ally Craig, a gregarious beauty who witnessed her mother's death. But as the couple draws closer, the fallout from their separate tragedies jeopardizes their love.","Drama, Romance",7.103,3661,2.9876,"Robert Pattinson as Tyler Hawkins
Emilie de Ravin as Ally Craig
Pierce Brosnan as Charles Hawkins
Lena Olin as Diane Hirsch
Chris Cooper as Neil Craig
",https://youtu.be/iFFas72-dTY,https://image.tmdb.org/t/p/w154/j7umuMiLCHvWT7wYhFKJOTFSokF.jpg,Allen Coulter,113 min
8,Requiem for a Dream.avi,D:/Movies,Requiem for a Dream,2000-10-06,The drug-induced utopias of four Coney Island residents are shattered when their addictions run deep.,"Crime, Drama",8.014,10699,3.7411,"Ellen Burstyn as Sara Goldfarb
Jared Leto as Harry Goldfarb
Jennifer Connelly as Marion Silver
Marlon Wayans as Tyrone C. Love
Christopher McDonald as Tappy Tibbons
",https://youtu.be/20YzUO_RLS0,https://image.tmdb.org/t/p/w154/nOd6vjEmzCT0k4VYqsA2hwyi87C.jpg,Darren Aronofsky,102 min
9,The Imaginarium of Doctor Parnassus 2009.avi,D:/Movies,The Imaginarium of Doctor Parnassus,2009-10-01,"After a carnival troupe saves his life, a man agrees to help its immortal leader collect five souls and win a bet with the devil.","Adventure, Fantasy, Mystery",6.381,2823,2.8526,"Christopher Plummer as Doctor Parnassus
Lily Cole as Valentina
Heath Ledger as Tony
Andrew Garfield as Anton
Verne Troyer as Percy
",https://youtu.be/Iqe85ffv9-w,https://image.tmdb.org/t/p/w154/DtrqQHa0wT9AWrk2WA9beROJJx.jpg,Terry Gilliam,123 min
10,The Social Network 2010.avi,D:/Movies,The Social Network,2010-10-01,"In 2003, Harvard undergrad and computer programmer Mark Zuckerberg begins work on a new concept that eventually turns into the global social network known as Facebook. Six years later, Mark is one of the youngest billionaires ever, but his unprecedented success leads to both personal and legal complications when he ends up on the receiving end of two lawsuits, one involving his former friend.",Drama,7.4,12868,10.5533,"Jesse Eisenberg as Mark Zuckerberg
Andrew Garfield as Eduardo Saverin
Armie Hammer as Cameron Winklevoss / Tyler Winklevoss
Josh Pence as Tyler Winklevoss (Body Double)
Justin Timberlake as Sean Parker
",No trailer available,https://image.tmdb.org/t/p/w154/n0ybibhJtQ5icDqTp8eRytcIHJx.jpg,David Fincher,121 min
11,Toy Story 3 2010.avi,D:/Movies,Toy Story 3,2010-06-16,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.","Animation, Family, Comedy",7.804,15423,12.5656,"Tom Hanks as Woody (voice)
Tim Allen as Buzz Lightyear (voice)
Joan Cusack as Jessie (voice)
Don Rickles as Mr. Potato Head (voice)
Wallace Shawn as Rex (voice)
",https://youtu.be/2BlMNH1QTeE,https://image.tmdb.org/t/p/w154/AbbXspMOwdvwWZgVN0nabZq03Ec.jpg,Lee Unkrich,102 min
